"Twilight","Rise","Deleted","Marker","Inserted","Twilight3","Marker3"
2010-07-30 02:01:50,FALSE,FALSE,0,FALSE,2010-07-30 02:01:50,0
2010-07-30 11:03:40,TRUE,FALSE,0,FALSE,2010-07-30 09:07:08,0
2010-07-31 01:58:43,FALSE,FALSE,0,FALSE,2010-07-31 01:58:43,0
2010-07-31 11:06:02,TRUE,FALSE,0,FALSE,2010-07-31 11:06:02,0
2010-08-01 02:01:51,FALSE,FALSE,0,FALSE,2010-08-01 02:01:51,0
2010-08-01 11:15:19,TRUE,FALSE,0,FALSE,2010-08-01 11:15:19,0
2010-08-02 02:02:57,FALSE,FALSE,0,FALSE,2010-08-02 02:02:57,0
2010-08-02 11:25:35,TRUE,FALSE,0,FALSE,2010-08-02 11:25:35,0
2010-08-03 02:01:50,FALSE,FALSE,0,FALSE,2010-08-03 02:51:51,0
2010-08-03 11:17:08,TRUE,FALSE,0,FALSE,2010-08-03 11:17:08,0
2010-08-04 02:01:51,FALSE,FALSE,0,FALSE,2010-08-04 02:01:51,0
2010-08-04 11:16:02,TRUE,FALSE,0,FALSE,2010-08-04 11:16:02,0
2010-08-05 02:06:57,FALSE,FALSE,0,FALSE,2010-08-05 03:31:51,0
2010-08-05 11:25:02,TRUE,FALSE,0,FALSE,2010-08-05 11:25:02,0
2010-08-06 01:52:57,FALSE,FALSE,0,FALSE,2010-08-06 01:52:57,0
2010-08-06 11:25:19,TRUE,FALSE,0,FALSE,2010-08-06 11:25:19,0
2010-08-07 02:01:51,FALSE,FALSE,0,FALSE,2010-08-07 02:01:51,0
2010-08-07 11:25:02,TRUE,FALSE,0,FALSE,2010-08-07 11:25:02,0
2010-08-08 02:01:51,FALSE,FALSE,0,FALSE,2010-08-08 02:01:51,0
2010-08-08 11:25:35,TRUE,FALSE,0,FALSE,2010-08-08 11:25:35,0
2010-08-09 02:01:51,FALSE,FALSE,0,FALSE,2010-08-09 02:01:51,0
2010-08-09 11:35:02,TRUE,FALSE,0,FALSE,2010-08-09 11:35:02,0
2010-08-10 01:51:51,FALSE,FALSE,0,FALSE,2010-08-10 01:51:51,0
2010-08-10 11:27:08,TRUE,FALSE,0,FALSE,2010-08-10 11:27:08,0
2010-08-11 01:51:51,FALSE,FALSE,0,FALSE,2010-08-11 01:51:51,0
2010-08-11 11:31:46,TRUE,FALSE,0,FALSE,2010-08-11 11:31:46,0
2010-08-12 01:51:51,FALSE,FALSE,0,FALSE,2010-08-12 01:51:51,0
2010-08-12 11:31:46,TRUE,FALSE,0,FALSE,2010-08-12 11:31:46,0
2010-08-13 01:43:24,FALSE,FALSE,0,FALSE,2010-08-13 01:43:24,0
2010-08-13 11:34:51,TRUE,FALSE,0,FALSE,2010-08-13 11:34:51,0
2010-08-14 01:51:51,FALSE,FALSE,0,FALSE,2010-08-14 01:51:51,0
2010-08-14 11:35:09,TRUE,FALSE,0,FALSE,2010-08-14 11:35:09,0
2010-08-15 01:42:57,FALSE,FALSE,0,FALSE,2010-08-15 01:42:57,0
2010-08-15 11:35:02,TRUE,FALSE,0,FALSE,2010-08-15 11:35:02,0
2010-08-16 01:43:24,FALSE,FALSE,0,FALSE,2010-08-16 01:43:24,0
2010-08-16 11:35:19,TRUE,FALSE,0,FALSE,2010-08-16 11:35:19,0
2010-08-17 01:53:40,FALSE,FALSE,0,FALSE,2010-08-17 01:53:40,0
2010-08-17 11:44:54,TRUE,FALSE,0,FALSE,2010-08-17 11:44:54,0
2010-08-18 01:33:50,FALSE,FALSE,0,FALSE,2010-08-18 01:33:50,0
2010-08-18 11:35:35,TRUE,FALSE,0,FALSE,2010-08-18 11:35:35,0
2010-08-19 01:42:57,FALSE,FALSE,0,FALSE,2010-08-19 01:42:57,0
2010-08-19 11:36:02,TRUE,FALSE,0,FALSE,2010-08-19 11:36:02,0
2010-08-20 01:42:57,FALSE,FALSE,0,FALSE,2010-08-20 01:42:57,0
2010-08-20 11:35:19,TRUE,FALSE,0,FALSE,2010-08-20 11:35:19,0
2010-08-21 01:41:51,FALSE,FALSE,0,FALSE,2010-08-21 01:41:51,0
2010-08-21 11:35:35,TRUE,FALSE,0,FALSE,2010-08-21 11:35:35,0
2010-08-22 01:41:51,FALSE,FALSE,0,FALSE,2010-08-22 01:41:51,0
2010-08-22 11:34:58,TRUE,FALSE,0,FALSE,2010-08-22 11:34:58,0
2010-08-23 01:41:29,FALSE,FALSE,0,FALSE,2010-08-23 02:21:51,0
2010-08-23 11:35:19,TRUE,FALSE,0,FALSE,2010-08-23 11:35:19,0
2010-08-24 01:41:51,FALSE,FALSE,0,FALSE,2010-08-24 01:41:51,0
2010-08-24 11:36:02,TRUE,FALSE,0,FALSE,2010-08-24 11:36:02,0
2010-08-25 01:28:43,FALSE,FALSE,0,FALSE,2010-08-25 01:28:43,0
2010-08-25 11:45:02,TRUE,FALSE,0,FALSE,2010-08-25 11:45:02,0
2010-08-26 01:33:40,FALSE,FALSE,0,FALSE,2010-08-26 01:33:40,0
2010-08-26 11:44:51,TRUE,FALSE,0,FALSE,2010-08-26 11:44:51,0
2010-08-27 01:28:43,FALSE,FALSE,0,FALSE,2010-08-27 01:28:43,0
2010-08-27 11:40:16,TRUE,FALSE,0,FALSE,2010-08-27 11:40:16,0
2010-08-28 01:28:43,FALSE,FALSE,0,FALSE,2010-08-28 01:28:43,0
2010-08-28 11:40:16,TRUE,FALSE,0,FALSE,2010-08-28 11:40:16,0
2010-08-29 01:23:24,FALSE,FALSE,0,FALSE,2010-08-29 01:23:24,0
2010-08-29 11:41:46,TRUE,FALSE,0,FALSE,2010-08-29 11:41:46,0
2010-08-30 01:31:51,FALSE,FALSE,0,FALSE,2010-08-30 01:31:51,0
2010-08-30 11:41:46,TRUE,FALSE,0,FALSE,2010-08-30 11:41:46,0
2010-08-31 01:31:51,FALSE,FALSE,0,FALSE,2010-08-31 01:31:51,0
2010-08-31 11:44:58,TRUE,FALSE,0,FALSE,2010-08-31 11:44:58,0
2010-09-01 01:23:24,FALSE,FALSE,0,FALSE,2010-09-01 01:23:24,0
2010-09-01 11:47:08,TRUE,FALSE,0,FALSE,2010-09-01 11:47:08,0
2010-09-02 03:01:51,FALSE,TRUE,0,FALSE,2010-09-02 03:01:51,0
2010-09-02 11:46:02,TRUE,FALSE,0,FALSE,2010-09-02 11:46:02,0
2010-09-03 01:57:13,FALSE,TRUE,0,FALSE,2010-09-03 01:57:13,0
2010-09-03 11:51:46,TRUE,FALSE,0,FALSE,2010-09-03 11:51:46,0
2010-09-04 01:19:50,FALSE,FALSE,0,FALSE,2010-09-04 01:19:50,0
2010-09-04 11:46:03,TRUE,FALSE,0,FALSE,2010-09-04 11:46:03,0
2010-09-05 01:17:13,FALSE,FALSE,0,FALSE,2010-09-05 01:17:13,0
2010-09-05 11:47:36,TRUE,FALSE,0,FALSE,2010-09-05 11:47:36,0
2010-09-06 01:23:24,FALSE,FALSE,0,FALSE,2010-09-06 01:23:24,0
2010-09-06 11:45:09,TRUE,FALSE,0,FALSE,2010-09-06 11:45:09,0
2010-09-07 01:22:57,FALSE,FALSE,0,FALSE,2010-09-07 01:22:57,0
2010-09-07 11:47:08,TRUE,FALSE,0,FALSE,2010-09-07 11:47:08,0
2010-09-08 01:13:24,FALSE,FALSE,0,FALSE,2010-09-08 01:13:24,0
2010-09-08 07:55:01,TRUE,TRUE,0,FALSE,2010-09-08 07:55:01,0
2010-09-09 01:13:40,FALSE,FALSE,0,FALSE,2010-09-09 01:13:40,0
2010-09-09 11:55:19,TRUE,FALSE,0,FALSE,2010-09-09 11:55:19,0
2010-09-10 01:21:51,FALSE,FALSE,0,FALSE,2010-09-10 01:21:51,0
2010-09-10 11:46:02,TRUE,FALSE,0,FALSE,2010-09-10 11:46:02,0
2010-09-11 01:21:51,FALSE,FALSE,0,FALSE,2010-09-11 01:21:51,0
2010-09-11 11:47:08,TRUE,FALSE,0,FALSE,2010-09-11 11:47:08,0
2010-09-12 01:12:57,FALSE,FALSE,0,FALSE,2010-09-12 01:12:57,0
2010-09-12 11:47:08,TRUE,FALSE,0,FALSE,2010-09-12 11:47:08,0
2010-09-13 01:12:57,FALSE,FALSE,0,FALSE,2010-09-13 01:12:57,0
2010-09-13 11:55:19,TRUE,FALSE,0,FALSE,2010-09-13 11:55:19,0
2010-09-14 01:03:40,FALSE,FALSE,0,FALSE,2010-09-14 01:03:40,0
2010-09-14 11:55:09,TRUE,FALSE,0,FALSE,2010-09-14 11:55:09,0
2010-09-15 01:10:26,FALSE,FALSE,0,FALSE,2010-09-15 01:21:51,0
2010-09-15 11:54:58,TRUE,FALSE,0,FALSE,2010-09-15 11:54:58,0
2010-09-16 01:11:51,FALSE,FALSE,0,FALSE,2010-09-16 01:11:51,0
2010-09-16 11:55:19,TRUE,FALSE,0,FALSE,2010-09-16 11:55:19,0
2010-09-17 00:51:51,FALSE,FALSE,0,FALSE,2010-09-17 00:51:51,0
2010-09-17 11:55:19,TRUE,FALSE,0,FALSE,2010-09-17 11:55:19,0
2010-09-18 01:03:40,FALSE,FALSE,0,FALSE,2010-09-18 01:03:40,0
2010-09-18 11:56:02,TRUE,FALSE,0,FALSE,2010-09-18 11:56:02,0
2010-09-19 01:03:40,FALSE,FALSE,0,FALSE,2010-09-19 01:03:40,0
2010-09-19 11:55:02,TRUE,FALSE,0,FALSE,2010-09-19 11:55:02,0
2010-09-20 01:03:24,FALSE,FALSE,0,FALSE,2010-09-20 01:03:24,0
2010-09-20 11:55:35,TRUE,FALSE,0,FALSE,2010-09-20 11:55:35,0
2010-09-21 01:02:57,FALSE,FALSE,0,FALSE,2010-09-21 01:02:57,0
2010-09-21 11:56:02,TRUE,FALSE,0,FALSE,2010-09-21 11:56:02,0
2010-09-22 01:01:51,FALSE,FALSE,0,FALSE,2010-09-22 01:01:51,0
2010-09-22 11:56:02,TRUE,FALSE,0,FALSE,2010-09-22 11:56:02,0
2010-09-23 00:53:24,FALSE,FALSE,0,FALSE,2010-09-23 00:53:24,0
2010-09-23 12:05:35,TRUE,FALSE,0,FALSE,2010-09-23 12:05:35,0
2010-09-24 00:53:24,FALSE,FALSE,0,FALSE,2010-09-24 00:53:24,0
2010-09-24 11:57:08,TRUE,FALSE,0,FALSE,2010-09-24 11:57:08,0
2010-09-25 00:53:24,FALSE,FALSE,0,FALSE,2010-09-25 00:53:24,0
2010-09-25 12:05:35,TRUE,FALSE,0,FALSE,2010-09-25 12:05:35,0
2010-09-26 00:52:57,FALSE,FALSE,0,FALSE,2010-09-26 00:52:57,0
2010-09-26 12:09:09,TRUE,FALSE,0,FALSE,2010-09-26 12:09:09,0
2010-09-27 00:44:01,FALSE,FALSE,0,FALSE,2010-09-27 00:44:01,0
2010-09-27 12:09:09,TRUE,FALSE,0,FALSE,2010-09-27 12:09:09,0
2010-09-28 00:43:50,FALSE,FALSE,0,FALSE,2010-09-28 00:43:50,0
2010-09-28 12:10:16,TRUE,FALSE,0,FALSE,2010-09-28 12:10:16,0
2010-09-29 00:42:10,FALSE,FALSE,0,FALSE,2010-09-29 00:42:10,0
2010-09-29 12:09:09,TRUE,FALSE,0,FALSE,2010-09-29 12:09:09,0
2010-09-30 00:43:24,FALSE,FALSE,0,FALSE,2010-09-30 00:43:24,0
2010-09-30 12:04:44,TRUE,FALSE,0,FALSE,2010-09-30 12:04:44,0
2010-10-01 00:41:23,FALSE,FALSE,0,FALSE,2010-10-01 00:41:23,0
2010-10-01 12:09:09,TRUE,FALSE,0,FALSE,2010-10-01 12:09:09,0
2010-10-02 00:31:51,FALSE,FALSE,0,FALSE,2010-10-02 00:31:51,0
2010-10-02 12:11:46,TRUE,FALSE,0,FALSE,2010-10-02 12:11:46,0
2010-10-03 00:37:13,FALSE,FALSE,0,FALSE,2010-10-03 00:37:13,0
2010-10-03 12:11:46,TRUE,FALSE,0,FALSE,2010-10-03 12:11:46,0
2010-10-04 00:30:46,FALSE,FALSE,0,FALSE,2010-10-04 00:30:46,0
2010-10-04 12:11:46,TRUE,FALSE,0,FALSE,2010-10-04 12:11:46,0
2010-10-05 00:28:43,FALSE,FALSE,0,FALSE,2010-10-05 00:28:43,0
2010-10-05 12:11:46,TRUE,FALSE,0,FALSE,2010-10-05 12:11:46,0
2010-10-06 00:32:38,FALSE,FALSE,0,FALSE,2010-10-06 00:32:38,0
2010-10-06 12:08:13,TRUE,FALSE,0,FALSE,2010-10-06 12:08:13,0
2010-10-07 00:28:43,FALSE,FALSE,0,FALSE,2010-10-07 00:28:43,0
2010-10-07 12:18:13,TRUE,FALSE,0,FALSE,2010-10-07 12:18:13,0
2010-10-08 00:33:40,FALSE,FALSE,0,FALSE,2010-10-08 00:33:40,0
2010-10-08 12:17:09,TRUE,FALSE,0,FALSE,2010-10-08 12:17:09,0
2010-10-09 00:29:50,FALSE,FALSE,0,FALSE,2010-10-09 00:29:50,0
2010-10-09 12:15:19,TRUE,FALSE,0,FALSE,2010-10-09 12:15:19,0
2010-10-10 00:32:57,FALSE,FALSE,0,FALSE,2010-10-10 00:32:57,0
2010-10-10 12:14:46,TRUE,FALSE,0,FALSE,2010-10-10 12:14:46,0
2010-10-11 03:13:19,FALSE,FALSE,0,FALSE,2010-10-11 03:13:19,0
2010-10-11 12:19:09,TRUE,FALSE,0,FALSE,2010-10-11 12:19:09,0
2010-10-12 00:30:46,FALSE,FALSE,0,FALSE,2010-10-12 00:30:46,0
2010-10-12 12:15:09,TRUE,FALSE,0,FALSE,2010-10-12 12:15:09,0
2010-10-13 00:24:11,FALSE,FALSE,0,FALSE,2010-10-13 00:24:11,0
2010-10-13 12:17:08,TRUE,FALSE,0,FALSE,2010-10-13 12:17:08,0
2010-10-14 00:21:51,FALSE,FALSE,0,FALSE,2010-10-14 00:21:51,0
2010-10-14 12:15:35,TRUE,FALSE,0,FALSE,2010-10-14 12:15:35,0
2010-10-15 00:19:50,FALSE,FALSE,0,FALSE,2010-10-15 00:19:50,0
2010-10-15 12:11:46,TRUE,FALSE,0,FALSE,2010-10-15 12:11:46,0
2010-10-16 00:27:13,FALSE,FALSE,0,FALSE,2010-10-16 00:27:13,0
2010-10-16 12:11:46,TRUE,FALSE,0,FALSE,2010-10-16 12:11:46,0
2010-10-17 00:31:51,FALSE,FALSE,0,FALSE,2010-10-17 00:31:51,0
2010-10-17 12:09:09,TRUE,FALSE,0,FALSE,2010-10-17 12:09:09,0
2010-10-18 00:22:57,FALSE,FALSE,0,FALSE,2010-10-18 00:22:57,0
2010-10-18 12:11:46,TRUE,FALSE,0,FALSE,2010-10-18 12:11:46,0
2010-10-19 00:31:51,FALSE,FALSE,0,FALSE,2010-10-19 00:31:51,0
2010-10-19 12:11:46,TRUE,FALSE,0,FALSE,2010-10-19 12:11:46,0
2010-10-20 00:21:51,FALSE,FALSE,0,FALSE,2010-10-20 00:21:51,0
2010-10-20 12:16:02,TRUE,FALSE,0,FALSE,2010-10-20 12:16:02,0
2010-10-21 00:22:57,FALSE,FALSE,0,FALSE,2010-10-21 00:22:57,0
2010-10-22 00:18:43,FALSE,FALSE,0,FALSE,2010-10-22 00:18:43,0
2010-10-22 12:16:02,TRUE,FALSE,0,FALSE,2010-10-22 12:16:02,0
2010-10-23 00:21:51,FALSE,FALSE,0,FALSE,2010-10-23 00:21:51,0
2010-10-23 12:10:16,TRUE,FALSE,0,FALSE,2010-10-23 12:10:16,0
2010-10-24 00:21:51,FALSE,FALSE,0,FALSE,2010-10-24 00:21:51,0
2010-10-24 12:10:16,TRUE,FALSE,0,FALSE,2010-10-24 12:10:16,0
2010-10-25 00:22:57,FALSE,FALSE,0,FALSE,2010-10-25 00:22:57,0
2010-10-25 12:15:09,TRUE,FALSE,0,FALSE,2010-10-25 12:15:09,0
2010-10-26 00:21:51,FALSE,FALSE,0,FALSE,2010-10-26 00:21:51,0
2010-10-26 12:14:45,TRUE,FALSE,0,FALSE,2010-10-26 12:14:45,0
